1/1/2011;Market Holiday
1/2/2011;Open
1/3/2011;Open
1/4/2011;Weekend
1/5/2011;Weekend
1/6/2011;Open
1/7/2011;Open
1/8/2011;Open
1/9/2011;Open
1/10/2011;Open
1/11/2011;Weekend
1/12/2011;Weekend
1/13/2011;Open
1/14/2011;Open
1/15/2011;Open
1/16/2011;Open
1/17/2011;Open
1/18/2011;Weekend
1/19/2011;Weekend
1/20/2011;Market Holiday
1/21/2011;Open
1/22/2011;Open
1/23/2011;Open
1/24/2011;Open
1/25/2011;Weekend
1/26/2011;Weekend
1/27/2011;Open
1/28/2011;Open
1/29/2011;Open
1/30/2011;Open
1/31/2011;Open
2/1/2011;Weekend
2/2/2011;Weekend
2/3/2011;Open
2/4/2011;Open
2/5/2011;Open
2/6/2011;Open
2/7/2011;Open
2/8/2011;Weekend
2/9/2011;Weekend
2/10/2011;Open
2/11/2011;Open
2/12/2011;Open
2/13/2011;Open
2/14/2011;Open
2/15/2011;Weekend
2/16/2011;Weekend
2/17/2011;Market Holiday
2/18/2011;Open
2/19/2011;Open
2/20/2011;Open
2/21/2011;Open
2/22/2011;Weekend
2/23/2011;Weekend
2/24/2011;Open
2/25/2011;Open
2/26/2011;Open
2/27/2011;Open
2/28/2011;Open
3/1/2011;Weekend
3/2/2011;Weekend
3/3/2011;Open
3/4/2011;Open
3/5/2011;Open
3/6/2011;Open
3/7/2011;Open
3/8/2011;Weekend
3/9/2011;Weekend
3/10/2011;Open
3/11/2011;Open
3/12/2011;Open
3/13/2011;Open
3/14/2011;Open
3/15/2011;Weekend
3/16/2011;Weekend
3/17/2011;Open
3/18/2011;Open
3/19/2011;Open
3/20/2011;Open
3/21/2011;Open
3/22/2011;Weekend
3/23/2011;Weekend
3/24/2011;Open
3/25/2011;Open
3/26/2011;Open
3/27/2011;Open
3/28/2011;Open
3/29/2011;Weekend
3/30/2011;Weekend
3/31/2011;Open
4/1/2011;Open
4/2/2011;Open
4/3/2011;Open
4/4/2011;Open
4/5/2011;Weekend
4/6/2011;Weekend
4/7/2011;Open
4/8/2011;Open
4/9/2011;Open
4/10/2011;Open
4/11/2011;Open
4/12/2011;Weekend
4/13/2011;Weekend
4/14/2011;Open
4/15/2011;Open
4/16/2011;Open
4/17/2011;Open
4/18/2011;Market Holiday
4/19/2011;Weekend
4/20/2011;Weekend
4/21/2011;Open
4/22/2011;Open
4/23/2011;Open
4/24/2011;Open
4/25/2011;Open
4/26/2011;Weekend
4/27/2011;Weekend
4/28/2011;Open
4/29/2011;Open
4/30/2011;Open
5/1/2011;Open
5/2/2011;Open
5/3/2011;Weekend
5/4/2011;Weekend
5/5/2011;Open
5/6/2011;Open
5/7/2011;Open
5/8/2011;Open
5/9/2011;Open
5/10/2011;Weekend
5/11/2011;Weekend
5/12/2011;Open
5/13/2011;Open
5/14/2011;Open
5/15/2011;Open
5/16/2011;Open
5/17/2011;Weekend
5/18/2011;Weekend
5/19/2011;Open
5/20/2011;Open
5/21/2011;Open
5/22/2011;Open
5/23/2011;Open
5/24/2011;Weekend
5/25/2011;Weekend
5/26/2011;Market Holiday
5/27/2011;Open
5/28/2011;Open
5/29/2011;Open
5/30/2011;Open
5/31/2011;Weekend
6/1/2011;Weekend
6/2/2011;Open
6/3/2011;Open
6/4/2011;Open
6/5/2011;Open
6/6/2011;Open
6/7/2011;Weekend
6/8/2011;Weekend
6/9/2011;Open
6/10/2011;Open
6/11/2011;Open
6/12/2011;Open
6/13/2011;Open
6/14/2011;Weekend
6/15/2011;Weekend
6/16/2011;Open
6/17/2011;Open
6/18/2011;Open
6/19/2011;Open
6/20/2011;Open
6/21/2011;Weekend
6/22/2011;Weekend
6/23/2011;Open
6/24/2011;Open
6/25/2011;Open
6/26/2011;Open
6/27/2011;Open
6/28/2011;Weekend
6/29/2011;Weekend
6/30/2011;Open
7/1/2011;Open
7/2/2011;Open
7/3/2011;Open
7/4/2011;Market Holiday
7/5/2011;Weekend
7/6/2011;Weekend
7/7/2011;Open
7/8/2011;Open
7/9/2011;Open
7/10/2011;Open
7/11/2011;Open
7/12/2011;Weekend
7/13/2011;Weekend
7/14/2011;Open
7/15/2011;Open
7/16/2011;Open
7/17/2011;Open
7/18/2011;Open
7/19/2011;Weekend
7/20/2011;Weekend
7/21/2011;Open
7/22/2011;Open
7/23/2011;Open
7/24/2011;Open
7/25/2011;Open
7/26/2011;Weekend
7/27/2011;Weekend
7/28/2011;Open
7/29/2011;Open
7/30/2011;Open
7/31/2011;Open
8/1/2011;Open
